[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	38
[Rejected]	72
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -1.1623	    -0.8234	    -1.4781	    -1.1607	    -1.6449	    -2.6145	    -2.1931	    -3.4413	    -1.7269	    -1.6568	    -1.4155	    -0.1232	    -1.0447	    -1.9169	    -2.4992	    -3.2121	    -2.5301	    -1.8538	    -2.8443	    -2.5804	    -2.5578	    -2.1879	    -3.4292	    -1.3882	    -1.6368	    -2.4021	    -1.6829	    -0.6680	    -1.6279	    -1.1178	    -0.5625	     0.2149	     2.2721	
    -0.9921	    -0.6007	    -1.0985	    -0.8650	    -1.3226	    -2.0734	    -1.9092	    -2.8774	    -1.1473	    -1.1314	    -1.2461	     0.1505	    -2.8117	    -1.7930	    -2.9431	    -2.6341	    -2.0831	    -1.5731	    -2.4278	    -2.2675	    -2.0998	    -1.9236	    -2.8645	    -0.9976	    -1.1670	    -2.8899	    -1.1920	    -0.4405	    -1.1024	    -0.2253	    -0.3021	     0.3012	     2.7434	
    -0.7937	    -0.3607	    -0.7299	    -0.5121	    -0.9689	    -1.4851	    -1.5602	    -2.3103	    -0.7717	    -0.8208	    -0.9198	     0.5152	    -4.9464	    -1.3436	    -3.2137	    -2.1133	    -1.5263	    -1.2296	    -1.9275	    -1.8730	    -1.5516	    -1.6012	    -2.1862	    -0.5670	    -0.6612	    -3.2052	    -0.7457	    -0.1872	    -0.7816	     0.7927	     0.0383	     0.4690	     2.9097	
    -0.8595	    -0.3262	    -0.7205	    -0.3960	    -0.9689	    -1.1848	    -1.4599	    -1.9292	    -0.3779	    -0.4232	    -0.9833	     0.7223	    -6.1401	    -1.3585	    -3.2348	    -1.7902	    -1.1334	    -1.1245	    -1.5306	    -1.6440	    -1.1884	    -1.4993	    -1.7485	    -0.5215	    -0.5137	    -3.2287	    -0.5685	    -0.1982	    -0.3785	     0.6868	     0.1112	     0.9098	     2.9944	
    -1.1662	    -0.5011	    -1.1315	    -0.5325	    -1.5587	    -1.1824	    -1.7830	    -1.7716	    -0.1011	    -0.1142	    -1.5300	     0.6689	    -6.3166	    -1.8471	    -3.0498	    -1.6906	    -1.0832	    -1.3252	    -1.3753	    -1.6761	    -1.1406	    -1.8193	    -1.6176	    -1.1121	    -0.6918	    -3.0365	    -0.6265	    -0.4735	    -0.0672	    -0.8739	    -0.2825	     1.2839	     2.9034	
