[Subject]	
[Date]	01/01/2007
[Time]	00:56:52
[Channels]	33
[Rate]	500.000000
[Type]	Average
[Points]	751
[Xmin]	-200.00000
[Sweeps]	110
[Accepted]	40
[Rejected]	70
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     FP2]	[      F3]	[      F4]	[      C3]	[      C4]	[      P3]	[      P4]	[      O1]	[      O2]	[      F7]	[      F8]	[      T3]	[      T4]	[      T5]	[      T6]	[      CZ]	[      FZ]	[      PZ]	[     FCZ]	[     CPZ]	[     CP3]	[     CP4]	[     FC3]	[     FC4]	[     TP7]	[     TP8]	[     FPZ]	[      OZ]	[     FT7]	[     FT8]	[      A1]	[     BP1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -1.4952	    -1.4421	    -2.5895	    -1.8136	    -1.8782	    -1.7269	    -1.6273	    -2.6997	    -1.7787	    -1.9766	    -1.4434	    -0.7373	     0.5664	    -4.2493	    -0.6727	    -2.9914	    -1.5165	    -2.4104	    -2.1070	    -2.1735	    -1.5029	    -1.6127	    -2.2903	    -2.4087	    -1.7589	    -0.6180	    -2.0518	    -1.5547	    -1.8357	    -4.0816	    -2.7025	    -0.1725	     1.8719	
    -1.3857	    -1.2789	    -2.4115	    -1.7332	    -1.8991	    -1.8371	    -1.7920	    -2.7369	    -1.5626	    -1.6801	    -1.4382	    -0.4602	     2.0729	    -3.2881	    -0.7912	    -2.6472	    -1.5388	    -2.2829	    -2.1971	    -2.0930	    -1.5208	    -1.7863	    -2.3164	    -2.3632	    -1.8386	    -0.7551	    -1.8514	    -1.4362	    -1.5317	    -4.2731	    -2.5110	    -0.2150	     1.4181	
    -1.1383	    -0.9854	    -1.8713	    -1.3770	    -1.5988	    -1.7209	    -1.8047	    -2.7489	    -1.6811	    -1.7642	    -1.0560	    -0.1167	     2.0938	    -1.8494	    -0.9923	    -2.3969	    -1.3585	    -1.8672	    -2.2053	    -1.7362	    -1.3666	    -1.8161	    -2.2464	    -1.9057	    -1.6389	    -0.9831	    -1.5079	    -1.1538	    -1.6092	    -3.5221	    -1.8733	    -0.3677	     0.3743	
    -0.8701	    -0.7582	    -1.2752	    -1.0038	    -1.2196	    -1.5741	    -1.7361	    -2.8025	    -2.2406	    -2.3141	    -0.5746	     0.0167	     1.2496	    -1.5089	    -1.2211	    -2.3812	    -1.1507	    -1.4090	    -2.2485	    -1.3137	    -1.2161	    -1.7498	    -2.2180	    -1.3604	    -1.3603	    -1.2037	    -1.3157	    -0.9050	    -2.1761	    -2.1497	    -1.2213	    -0.4519	    -0.5086	
    -0.6756	    -0.6322	    -0.8669	    -0.8048	    -1.0385	    -1.5928	    -1.7436	    -2.9374	    -2.9328	    -2.9899	    -0.3273	    -0.1078	    -0.0639	    -1.5372	    -1.4580	    -2.5325	    -1.0896	    -1.0961	    -2.3677	    -1.0447	    -1.1833	    -1.7513	    -2.3283	    -1.0035	    -1.2157	    -1.4391	    -1.4393	    -0.7686	    -2.9234	    -0.9859	    -0.7922	    -0.4422	    -0.7619	
